softmax,label
0.7832437753677368,1
7.202140841400251e-05,1
1.8473429008736275e-08,1
3.8704929465893656e-05,1
0.1135077029466629,1
1.279340522408745e-09,1
4.67305451198061e-15,1
1.485600184536473e-11,1
8.680207201905432e-07,1
6.422611420475732e-08,1
1.4912860279991946e-08,1
1.224104106967161e-08,1
1.4522758551294146e-09,1
1.1789194509503886e-08,1
2.3418200711944337e-09,1
2.1784251919704234e-12,1
0.03289740905165672,0
0.9802995920181274,0
0.954321563243866,0
4.717244372898222e-09,0
3.209256194125487e-10,0
8.701817044709514e-12,0
